Row;M;C;P;W;S;T
1;1;1;1;0;0;0
2;1;1;1;0;1;0
3;1;1;1;0;1;0
4;1;1;1;0;1;0
5;1;1;1;0;1;0
6;0;1;0;0;0;0
7;0;0;0;0;0;0
8;1;1;1;1;1;0
9;1;1;1;0;1;0
10;1;0;1;0;1;0
11;1;1;1;0;1;0
12;1;1;1;0;1;0
13;1;1;1;0;1;0
14;1;1;1;0;1;0
15;1;1;1;0;1;0
16;1;1;1;0;1;0
17;1;1;1;0;1;0
18;1;1;1;1;1;0
19;0;1;1;0;1;0
20;1;1;1;0;1;0
21;1;1;1;0;1;0
22;1;1;1;1;1;0
23;1;1;1;1;1;0
24;1;1;1;0;0;0
25;1;1;1;0;1;1
26;0;1;0;1;0;0
27;0;1;0;1;1;0
28;1;1;1;1;1;1
29;1;1;1;1;1;1
30;0;0;0;0;1;0
31;1;1;1;1;1;1
32;0;0;0;1;0;0
33;1;1;1;1;1;0
34;0;1;0;1;0;0
35;1;1;1;1;1;1
36;0;1;0;1;0;0
37;1;1;0;1;1;1
38;1;1;0;1;1;0
39;1;1;1;0;0;0
40;1;1;0;0;0;0
41;1;1;0;1;1;0
42;0;0;0;1;1;0
43;1;1;0;1;1;0
44;0;1;0;1;0;0
45;1;0;0;0;0;0
46;0;1;0;0;0;0
47;0;1;0;0;0;0
48;0;0;0;1;0;0
49;0;1;0;0;0;0
50;1;1;1;0;0;0
51;1;1;1;0;0;0
52;0;0;0;1;0;0
53;0;0;0;1;0;0
54;0;1;0;0;0;0
55;1;0;0;0;0;0
56;1;0;0;0;0;0
57;0;1;1;0;0;0
58;0;1;1;0;0;0
59;0;1;1;0;0;0
60;0;1;0;0;0;0
61;0;1;0;0;0;0
62;0;1;0;0;0;0
63;0;1;0;0;0;0
64;0;1;0;0;0;0
65;0;1;0;0;0;0
66;0;1;0;0;0;0
67;0;1;0;0;0;0
68;0;0;0;1;0;1
69;0;0;0;1;0;0
70;0;1;0;0;0;0
71;0;1;0;0;0;0
72;0;1;0;0;0;0
73;0;1;0;0;0;0
74;1;1;1;0;0;1
75;0;0;0;0;0;1
76;1;1;1;1;1;1
